"ID","Fecha","Nombre","Codigo","Producto","Cantidad","Totalventas"
"43","2014-01-10","Miguel Ángel Vega Torres","B00J0O5J4Y","Xiaomi Redmi Note 9","2","3366.00"
"44","2014-01-10","Laura Flores Guzmán","B016B7INC2","ALCATEL OneTouch","3","3060.00"
"45","2014-01-10","Silvia Ramírez Rivera","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"46","2014-01-11","Julio Vargas López","B01KBH547A","BLU Studio X8","1","1012.00"
"47","2014-01-11","Diego Morales Castro","B016B7INC2","ALCATEL OneTouch","19","19380.00"
"48","2014-01-11","Carlos González Medina","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"49","2014-01-11","Andrés Ramos Silva","B01KBH547A","BLU Studio X8","1","1012.00"
"50","2014-01-11","Ricardo Gómez Vargas","B00F3J4B5S","Samsung Galaxy A20","2","3450.00"
"51","2014-01-11","Sofía Castro Valdez","B016381QZA","Samsung Galaxy J7","2","4033.00"
"52","2014-01-11","Valentina Torres Vega","B016B7INC2","ALCATEL OneTouch","2","2040.00"
"53","2014-01-11","Luisa García López","B016B7INC2","ALCATEL OneTouch","3","3060.00"
"54","2014-01-11","Gabriela Rojas Huerta","B00J0O5J4Y","Xiaomi Redmi Note 9","1","1683.00"
"55","2014-01-12","Juan Carlos Rodríguez Huamán","B01EYT1URO","Apple iPhone 6","2","2625.00"
"56","2014-01-12","Ana María Castro Chávez","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"57","2014-01-12","Carla Fernández Mendoza","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"58","2014-01-12","Eduardo Cáceres Salazar","B00NQGP42Y","Moto G Plus","3","7128.00"
"59","2014-01-12","Miguel Ángel Vega Torres","B015YCRYZM","ASUS ZenFone 3","1","2013.00"
"60","2014-01-12","Laura Flores Guzmán","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"61","2014-01-13","Silvia Ramírez Rivera","B01KBH547A","BLU Studio X8","2","2024.00"
"62","2014-01-13","Julio Vargas López","B00NQGP42Y","Moto G Plus","4","9504.00"
"63","2014-01-13","Diego Morales Castro","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"64","2014-01-13","Carlos González Medina","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"65","2014-01-14","Andrés Ramos Silva","B01KBH547A","BLU Studio X8","4","4048.00"
"66","2014-01-14","Ricardo Gómez Vargas","B01LQV1YHO","Huawei Nexus 6P","2","3248.00"
"67","2014-01-14","Valentina Torres Vega","B01KBH547A","BLU Studio X8","15","15180.00"
"68","2014-01-14","Luisa García López","B01KBH547A","BLU Studio X8","2","2024.00"
"69","2014-01-14","Sofía Castro Valdez","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"70","2014-01-15","Juan Carlos Rodríguez Huamán","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"71","2014-01-15","Gabriela Rojas Huerta","B01DZJFWNC","Samsung Galaxy S69","3","2995.20"
"72","2014-01-15","Carla Fernández Mendoza","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"73","2014-01-15","Ana María Castro Chávez","B00NQGP42Y","Moto G Plus","3","7128.00"
"74","2014-01-15","Eduardo Cáceres Salazar","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"75","2014-01-15","Miguel Ángel Vega Torres","B01KBH547A","BLU Studio X8","2","2024.00"
"76","2014-01-16","Laura Flores Guzmán","B00NQGP42Y","Moto G Plus","2","4752.00"
"77","2014-01-16","Diego Morales Castro","B01EYT1URO","Apple iPhone 6","2","2625.00"
"78","2014-01-16","Silvia Ramírez Rivera","B00K15Q2B0","Samsung Galaxy S5","3","6501.60"
"79","2014-01-16","Ricardo Gómez Vargas","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"80","2014-01-17","Julio Vargas López","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"81","2014-01-17","Andrés Ramos Silva","B00NQGP42Y","Moto G Plus","3","7128.00"
"82","2014-01-17","Carlos González Medina","B00F3J4B5S","Samsung Galaxy A20","2","3450.00"
"83","2014-01-17","Valentina Torres Vega","B016B7INC2","ALCATEL OneTouch","1","1020.00"
"84","2014-01-17","Luisa García López","B00F3J4B5S","Samsung Galaxy A20","1","1725.00"
"85","2014-01-17","Gabriela Rojas Huerta","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"86","2014-01-17","Juan Carlos Rodríguez Huamán","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"87","2014-01-17","Carla Fernández Mendoza","B015YCRYZM","ASUS ZenFone 3","3","6039.00"
"88","2014-01-18","Luisa García López","B01LQV1YHO","Huawei Nexus 6P","3","4872.00"
"89","2014-01-18","Juan Carlos Rodríguez Huamán","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"90","2014-01-18","Ana María Castro Chávez","B01KBH547A","BLU Studio X8","3","3036.00"
"91","2014-01-18","Miguel Ángel Vega Torres","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"92","2014-01-19","Carla Fernández Mendoza","B016381QZA","Samsung Galaxy J7","3","6049.50"
"93","2014-01-19","Ricardo Gómez Vargas","B00K15Q2B0","Samsung Galaxy S5","3","6501.60"
"94","2014-01-20","Silvia Ramírez Rivera","B00F3J4B5S","Samsung Galaxy A20","1","1725.00"
"95","2014-01-20","Diego Morales Castro","B00NQGP42Y","Moto G Plus","3","7128.00"
"96","2014-01-20","Gabriela Rojas Huerta","B016381QZA","Samsung Galaxy J7","21","42346.50"
"97","2014-01-20","Eduardo Cáceres Salazar","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"98","2014-01-20","Verónica Quispe Rodríguez","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"99","2014-01-20","Carlos González Medina","B01LQV1YHO","Huawei Nexus 6P","12","19488.00"
"100","2014-01-21","Laura Flores Guzmán","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"101","2014-01-21","Julio Vargas López","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"102","2014-01-21","Valentina Torres Vega","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"103","2014-01-21","Andrés Ramos Silva","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"104","2014-01-21","Mariana Ruiz Cruz","B00F3J4B5S","Samsung Galaxy A20","1","1725.00"
"105","2014-01-21","Luis Torres Medina","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"106","2014-01-21","Ana Paula Sánchez Vargas","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"107","2014-01-21","Rafaela Cáceres Castro","B01DZJFWNC","Samsung Galaxy S69","1","998.40"
"108","2014-01-22","Alejandro Ortega Salinas","B00F3J4B5S","Samsung Galaxy A20","22","37950.00"
"109","2014-01-22","Camila Paredes Delgado","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"110","2014-01-22","Víctor García Soto","B01KBH547A","BLU Studio X8","1","1012.00"
"111","2014-01-22","Sofía Castro Valdez","B016381QZA","Samsung Galaxy J7","19","38313.50"
"112","2014-01-22","Adrián Vega Ruiz","B00NQGP42Y","Moto G Plus","1","2376.00"
"113","2014-01-22","Lucía Pérez Guerra","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"114","2014-01-23","Sebastián Salazar Peña","B00NQGP42Y","Moto G Plus","2","4752.00"
"115","2014-01-23","Carolina Espinoza Ramírez","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"116","2014-01-23","Manuel Rojas Cárdenas","B01LQV1YHO","Huawei Nexus 6P","23","37352.00"
"117","2014-01-23","Gabriela Navarro Gómez","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"118","2014-01-23","Andrés Soto Paredes","B00J0O5J4Y","Xiaomi Redmi Note 9","2","3366.00"
"119","2014-01-24","Valeria Tapia Castro","B016381QZA","Samsung Galaxy J7","2","4033.00"
"120","2014-01-24","Eduardo Morales Sánchez","B01EYT1URO","Apple iPhone 6","11","14437.50"
"121","2014-01-24","María Fernández Vásquez","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"122","2014-01-25","Jorge Huamán Flores","B00NQGP42Y","Moto G Plus","2","4752.00"
"123","2014-01-25","Daniela Chávez Paredes","B01KBH547A","BLU Studio X8","1","1012.00"
"124","2014-01-25","José López Ramírez","B00K15Q2B0","Samsung Galaxy S5","3","6501.60"
"125","2014-01-25","Ana María Vargas Vega","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"126","2014-01-26","Carlos Rivera Castro","B00NQGP42Y","Moto G Plus","2","4752.00"
"127","2014-01-26","Brenda Torres Sánchez","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"128","2014-01-26","Luis González López","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"129","2014-01-26","Patricia Medina Vargas","B018IZ0SWI","BLU Advance 5.0","7","11340.00"
"130","2014-01-26","Miguel García Huamán","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"131","2014-01-26","Adriana Rodríguez Silva","B01KBH547A","BLU Studio X8","20","20240.00"
"132","2014-01-27","Juan Pérez Torres","B018IZ0SWI","BLU Advance 5.0","20","32400.00"
"133","2014-01-27","Sofía Castro Salinas","B01KBH547A","BLU Studio X8","2","2024.00"
"134","2014-01-27","Diego Morales López","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"135","2014-01-27","Mariana Rojas Medina","B00F3J4B5S","Samsung Galaxy A20","1","1725.00"
"136","2014-01-28","Alejandro Soto Vásquez","B00F3J4B5S","Samsung Galaxy A20","2","3450.00"
"137","2014-01-28","Valentina Vega Ruiz","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"138","2014-01-28","Andrés Gómez Paredes","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"139","2014-01-29","Gabriela Huamán Castro","B00NQGP42Y","Moto G Plus","1","2376.00"
"140","2014-01-29","Eduardo Torres López","B00NQGP42Y","Moto G Plus","2","4752.00"
"141","2014-01-29","Carla Medina Vargas","B00NQGP42Y","Moto G Plus","22","52272.00"
"142","2014-01-30","Ricardo García Huerta","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"143","2014-01-30","Laura Chávez Castro","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"144","2014-01-30","Carlos González Ruiz","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"145","2014-01-31","Silvia Castro López","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"146","2014-01-31","Juan Carlos Rodríguez Medina","B00NQGP42Y","Moto G Plus","2","4752.00"
"147","2014-01-31","Luisa Fernández Vargas","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"148","2014-01-31","José Morales Huamán","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"149","2014-01-31","Ana Paula Rojas Torres","B01KBH547A","BLU Studio X8","1","1012.00"
"150","2014-01-31","Miguel Ángel Vega López","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"151","2014-02-01","Carla García Castro","B00NQGP42Y","Moto G Plus","1","2376.00"
"152","2014-02-01","Eduardo Castro Ruiz","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"153","2014-02-01","Gabriela Ramírez Vargas","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"154","2014-02-01","Ricardo Gómez Medina","B015YCRYZM","ASUS ZenFone 3","3","6039.00"
"155","2014-02-01","Laura Flores Salazar","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"156","2014-02-01","Juan Carlos Rodríguez Delgado","B00NQGP42Y","Moto G Plus","1","2376.00"
"157","2014-02-01","Luisa García Vásquez","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"158","2014-02-02","Ana María Castro Salinas","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"159","2014-02-02","Ana María Castro Chávez","B00K15Q2B0","Samsung Galaxy S5","3","6501.60"
"160","2014-02-03","Laura Flores Guzmán","B00NQGP42Y","Moto G Plus","1","2376.00"
"161","2014-02-03","Carlos González Medina","B01LQV1YHO","Huawei Nexus 6P","2","3248.00"
"162","2014-02-03","Miguel Ángel Vega Torres","B016381QZA","Samsung Galaxy J7","1","2016.50"
"163","2014-02-03","Rafaela Cáceres Castro","B01KBH547A","BLU Studio X8","1","1012.00"
"164","2014-02-04","Carla Fernández Mendoza","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"165","2014-02-04","Adrián Vega Ruiz","B01EYT1URO","Apple iPhone 6","2","2625.00"
"166","2014-02-04","Diego Morales Castro","B015YCRYZM","ASUS ZenFone 3","1","2013.00"
"167","2014-02-05","Ricardo Gómez Vargas","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"168","2014-02-05","Silvia Ramírez Rivera","B01LQV1YHO","Huawei Nexus 6P","2","3248.00"
"169","2014-02-05","Eduardo Cáceres Salazar","B016B7INC2","ALCATEL OneTouch","2","2040.00"
"170","2014-02-06","Juan Carlos Rodríguez Huamán","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"171","2014-02-06","Gabriela Rojas Huerta","B00J0O5J4Y","Xiaomi Redmi Note 9","2","3366.00"
"172","2014-02-06","Verónica Quispe Rodríguez","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"173","2014-02-06","Julio Vargas López","B01EYT1URO","Apple iPhone 6","3","3937.50"
"174","2014-02-06","Valentina Torres Vega","B01EYT1URO","Apple iPhone 6","1","1312.50"
"175","2014-02-06","Mariana Ruiz Cruz","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"176","2014-02-06","Luis Torres Medina","B01LQV1YHO","Huawei Nexus 6P","3","4872.00"
"177","2014-02-06","Andrés Ramos Silva","B01KBH547A","BLU Studio X8","1","1012.00"
"178","2014-02-07","Ana Paula Sánchez Vargas","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"179","2014-02-07","Alejandro Ortega Salinas","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"180","2014-02-07","Sofía Castro Valdez","B01KBH547A","BLU Studio X8","3","3036.00"
"181","2014-02-07","Lucía Pérez Guerra","B016381QZA","Samsung Galaxy J7","1","2016.50"
"182","2014-02-08","Sebastián Salazar Peña","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"183","2014-02-08","Carolina Espinoza Ramírez","B01KBH547A","BLU Studio X8","2","2024.00"
"184","2014-02-08","Manuel Rojas Cárdenas","B00J0O5J4Y","Xiaomi Redmi Note 9","12","20196.00"
"185","2014-02-08","Gabriela Navarro Gómez","B00NQGP42Y","Moto G Plus","1","2376.00"
"186","2014-02-08","Andrés Soto Paredes","B00J0O5J4Y","Xiaomi Redmi Note 9","3","5049.00"
"187","2014-02-08","Víctor García Soto","B01KBH547A","BLU Studio X8","2","2024.00"
"188","2014-02-08","Camila Paredes Delgado","B00NQGP42Y","Moto G Plus","4","9504.00"
"189","2014-02-09","Valeria Tapia Castro","B015YCRYZM","ASUS ZenFone 3","2","4026.00"
"190","2014-02-09","Eduardo Morales Sánchez","B01EYT1URO","Apple iPhone 6","13","17062.50"
"191","2014-02-09","María Fernández Vásquez","B00NQGP42Y","Moto G Plus","2","4752.00"
"192","2014-02-09","Jorge Huamán Flores","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"193","2014-02-09","Daniela Chávez Paredes","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"194","2014-02-09","José López Ramírez","B00NQGP42Y","Moto G Plus","3","7128.00"
"195","2014-02-10","Ana María Vargas Vega","B016B7INC2","ALCATEL OneTouch","3","3060.00"
"196","2014-02-10","Carlos Rivera Castro","B015YCRYZM","ASUS ZenFone 3","2","4026.00"
"197","2014-02-11","Brenda Torres Sánchez","B01EYT1URO","Apple iPhone 6","3","3937.50"
"198","2014-02-11","Luis González López","B00F3J4B5S","Samsung Galaxy A20","2","3450.00"
"199","2014-02-11","Patricia Medina Vargas","B00F3J4B5S","Samsung Galaxy A20","4","6900.00"
"200","2014-02-11","Miguel García Huamán","B016381QZA","Samsung Galaxy J7","18","36297.00"
"201","2014-02-11","Adriana Rodríguez Silva","B01DZJFWNC","Samsung Galaxy S69","3","2995.20"
"202","2014-02-11","Juan Pérez Torres","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"203","2014-02-11","Sofía Castro Salinas","B00J0O5J4Y","Xiaomi Redmi Note 9","1","1683.00"
"204","2014-02-11","Diego Morales López","B01EYT1URO","Apple iPhone 6","3","3937.50"
"205","2014-02-11","Mariana Rojas Medina","B01KBH547A","BLU Studio X8","4","4048.00"
"206","2014-02-12","Alejandro Soto Vásquez","B015YCRYZM","ASUS ZenFone 3","1","2013.00"
"207","2014-02-12","Valentina Vega Ruiz","B018IZ0SWI","BLU Advance 5.0","4","6480.00"
"208","2014-02-12","Andrés Gómez Paredes","B016B7INC2","ALCATEL OneTouch","1","1020.00"
"209","2014-02-13","Gabriela Huamán Castro","B01KBH547A","BLU Studio X8","1","1012.00"
"210","2014-02-13","Eduardo Torres López","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"211","2014-02-13","Carla Medina Vargas","B01KBH547A","BLU Studio X8","3","3036.00"
"212","2014-02-14","Ricardo García Huerta","B016381QZA","Samsung Galaxy J7","3","6049.50"
"213","2014-02-14","Laura Chávez Castro","B015YCRYZM","ASUS ZenFone 3","1","2013.00"
"214","2014-02-14","Carlos González Ruiz","B00F3J4B5S","Samsung Galaxy A20","1","1725.00"
"215","2014-02-14","Silvia Castro López","B00K15Q2B0","Samsung Galaxy S5","4","8668.80"
"216","2014-02-14","Juan Carlos Rodríguez Medina","B00K15Q2B0","Samsung Galaxy S5","3","6501.60"
"217","2014-02-15","Luisa Fernández Vargas","B016B7INC2","ALCATEL OneTouch","2","2040.00"
"218","2014-02-15","José Morales Huamán","B00NQGP42Y","Moto G Plus","3","7128.00"
"219","2014-02-15","Ana Paula Rojas Torres","B01KBH547A","BLU Studio X8","2","2024.00"
"220","2014-02-15","Miguel Ángel Vega López","B01DZJFWNC","Samsung Galaxy S69","2","1996.80"
"221","2014-02-15","Carla García Castro","B01EYT1URO","Apple iPhone 6","2","2625.00"
"222","2014-02-16","Eduardo Castro Ruiz","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"223","2014-02-16","Gabriela Ramírez Vargas","B01DZJFWNC","Samsung Galaxy S69","3","2995.20"
"224","2014-02-16","Ricardo Gómez Medina","B01LQV1YHO","Huawei Nexus 6P","3","4872.00"
"225","2014-02-17","Laura Flores Salazar","B00F3J4B5S","Samsung Galaxy A20","18","31050.00"
"226","2014-02-17","Juan Carlos Rodríguez Delgado","B01KBH547A","BLU Studio X8","2","2024.00"
"227","2014-02-17","Luisa García Vásquez","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"228","2014-02-17","Ana María Castro Salinas","B01DZJFWNC","Samsung Galaxy S69","3","2995.20"
"229","2014-02-17","Ana María Castro Chávez","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"230","2014-02-17","Laura Flores Guzmán","B00K15Q2B0","Samsung Galaxy S5","13","28173.60"
"231","2014-02-18","Carlos González Medina","B016B7INC2","ALCATEL OneTouch","4","4080.00"
"232","2014-02-18","Miguel Ángel Vega Torres","B00F3J4B5S","Samsung Galaxy A20","4","6900.00"
"233","2014-02-19","Rafaela Cáceres Castro","B00J0O5J4Y","Xiaomi Redmi Note 9","4","6732.00"
"234","2014-02-19","Carla Fernández Mendoza","B00K15Q2B0","Samsung Galaxy S5","17","36842.40"
"235","2014-02-20","Adrián Vega Ruiz","B01KBH547A","BLU Studio X8","2","2024.00"
"236","2014-02-20","Diego Morales Castro","B00NQGP42Y","Moto G Plus","3","7128.00"
"237","2014-02-20","Ricardo Gómez Vargas","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"238","2014-02-21","Silvia Ramírez Rivera","B01EYT1URO","Apple iPhone 6","1","1312.50"
"239","2014-02-21","Eduardo Cáceres Salazar","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"240","2014-02-21","Juan Carlos Rodríguez Huamán","B01DZJFWNC","Samsung Galaxy S69","3","2995.20"
"241","2014-02-21","Gabriela Rojas Huerta","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"242","2014-02-21","Verónica Quispe Rodríguez","B016B7INC2","ALCATEL OneTouch","3","3060.00"
"243","2014-02-22","Julio Vargas López","B01LQV1YHO","Huawei Nexus 6P","16","25984.00"
"244","2014-02-22","Valentina Torres Vega","B01EYT1URO","Apple iPhone 6","3","3937.50"
"245","2014-02-22","Mariana Ruiz Cruz","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"246","2014-02-22","Luis Torres Medina","B01LQV1YHO","Huawei Nexus 6P","13","21112.00"
"247","2014-02-23","Andrés Ramos Silva","B015YCRYZM","ASUS ZenFone 3","3","6039.00"
"248","2014-02-23","Ana Paula Sánchez Vargas","B00K15Q2B0","Samsung Galaxy S5","1","2167.20"
"249","2014-02-23","Alejandro Ortega Salinas","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"250","2014-02-23","Sofía Castro Valdez","B016B7INC2","ALCATEL OneTouch","3","3060.00"
"251","2014-02-23","Lucía Pérez Guerra","B01KBH547A","BLU Studio X8","4","4048.00"
"252","2014-02-24","Sebastián Salazar Peña","B00NQGP42Y","Moto G Plus","1","2376.00"
"253","2014-02-24","Carolina Espinoza Ramírez","B00NQGP42Y","Moto G Plus","1","2376.00"
"254","2014-02-24","Manuel Rojas Cárdenas","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"255","2014-02-24","Gabriela Navarro Gómez","B00K15Q2B0","Samsung Galaxy S5","2","4334.40"
"256","2014-02-24","Andrés Soto Paredes","B016381QZA","Samsung Galaxy J7","3","6049.50"
"257","2014-02-24","Víctor García Soto","B01EYT1URO","Apple iPhone 6","2","2625.00"
"258","2014-02-25","Camila Paredes Delgado","B00NQGP42Y","Moto G Plus","3","7128.00"
"259","2014-02-26","Valeria Tapia Castro","B01DZJFWNC","Samsung Galaxy S69","20","19968.00"
"260","2014-02-26","Eduardo Morales Sánchez","B01LQV1YHO","Huawei Nexus 6P","1","1624.00"
"261","2014-02-26","María Fernández Vásquez","B016B7INC2","ALCATEL OneTouch","2","2040.00"
"262","2014-02-26","Jorge Huamán Flores","B01KBH547A","BLU Studio X8","2","2024.00"
"263","2014-02-26","Daniela Chávez Paredes","B018IZ0SWI","BLU Advance 5.0","3","4860.00"
"264","2014-02-26","José López Ramírez","B015YCRYZM","ASUS ZenFone 3","2","4026.00"
"265","2014-02-26","Ana María Vargas Vega","B018IZ0SWI","BLU Advance 5.0","1","1620.00"
"266","2014-02-27","Carlos Rivera Castro","B01KBH547A","BLU Studio X8","1","1012.00"
"267","2014-02-27","Brenda Torres Sánchez","B00NQGP42Y","Moto G Plus","2","4752.00"
"268","2014-02-27","Luis González López","B01KBH547A","BLU Studio X8","2","2024.00"
"269","2014-02-27","Patricia Medina Vargas","B015YCRYZM","ASUS ZenFone 3","3","6039.00"
"270","2014-02-27","Miguel García Huamán","B00J0O5J4Y","Xiaomi Redmi Note 9","2","3366.00"
"271","2014-02-27","Adriana Rodríguez Silva","B01KBH547A","BLU Studio X8","2","2024.00"
"272","2014-02-28","Juan Pérez Torres","B01KBH547A","BLU Studio X8","2","2024.00"
"273","2014-02-28","Sofía Castro Salinas","B018IZ0SWI","BLU Advance 5.0","2","3240.00"
"274","2014-02-28","Diego Morales López","B00F3J4B5S","Samsung Galaxy A20","3","5175.00"
"275","2014-02-28","Mariana Rojas Medina","B016381QZA","Samsung Galaxy J7","24","48396.00"
